Open_time,Open,High,Low,Close,Volume,Spread,MA7,MA21,Lag_1,Lag_2,Lag_3,Target_3d,Daily_Return,Volatility_7d,RSI
2023-07-03,30617.02,31380.0,30570.27,31156.2,43761.64311,809.7299999999996,30578.327142857142,28899.491428571433,30617.03,30585.9,30472.0,29895.43,1.7610133967925767,1.2591239362554933,82.66122495974018
2023-07-04,31156.2,31350.69,30620.0,30766.51,33206.11943,730.6899999999987,30588.90857142857,29129.599047619053,31156.2,30617.03,30585.9,30344.7,-1.2507622880839175,1.312621604218166,72.24132066322652
2023-07-05,30766.52,30878.07,30200.0,30504.81,33215.67122,678.0699999999997,30649.965714285714,29385.609047619044,30766.51,31156.2,30617.03,30284.63,-0.8506002143239377,1.0614033134497363,56.22660088916624
2023-07-06,30504.8,31500.0,29850.45,29895.43,71319.6261,1649.5499999999993,30571.125714285714,29590.225238095238,30504.81,30766.51,31156.2,30160.71,-1.9976521735424746,1.2303825082822537,50.114161451012706
2023-07-07,29895.42,30449.0,29701.02,30344.7,34070.53895,747.9799999999996,30552.94,29780.68714285714,29895.43,30504.81,30766.51,30411.57,1.5028049437656454,1.400579073695123,45.95417080507059
2023-07-08,30344.7,30386.81,30044.47,30284.63,13094.59042,342.34000000000015,30509.90142857143,29960.09857142857,30344.7,29895.43,30504.81,30622.1,-0.1979587868721766,1.3882696458116852,47.07316132329755
2023-07-09,30284.63,30445.52,30061.12,30160.71,15388.50196,384.40000000000146,30444.712857142855,30142.038571428573,30284.63,30344.7,29895.43,30380.0,-0.4091844608965056,1.3872971199813846,46.41131265495118
2023-07-10,30160.71,31045.78,29950.0,30411.57,41262.87652,1095.7799999999988,30338.33714285714,30311.90619047619,30160.71,30284.63,30344.7,31454.23,0.8317443455409412,1.1994358577650732,51.6839621313767
2023-07-11,30411.57,30813.63,30300.0,30622.1,28476.83311,513.630000000001,30317.707142857143,30422.101904761905,30411.57,30160.71,30284.63,30312.01,0.6922694224599457,1.1778492478575235,49.131441949600415
2023-07-12,30622.1,30983.25,30210.0,30380.0,38108.99669,773.25,30299.877142857145,30440.488095238095,30622.1,30411.57,30160.71,30289.52,-0.7906054777431892,1.1713483394422453,54.11540376083627
2023-07-13,30380.0,31804.2,30251.0,31454.23,70772.51836,1553.2000000000007,30522.562857142857,30515.21714285714,30380.0,30622.1,30411.57,30231.99,3.535977616853181,1.4693065399202556,61.49284122867889
2023-07-14,31454.23,31630.0,29900.0,30312.01,60749.48424,1730.0,30517.89285714286,30497.289047619044,31454.23,30380.0,30622.1,30138.0,-3.6313716787853334,2.1483549546265577,48.545061356778696
2023-07-15,30312.0,30390.9,30200.0,30289.52,14118.55329,190.90000000000146,30518.59142857143,30485.960000000003,30312.01,31454.23,30380.0,29859.13,-0.07419501379155591,2.146920719069221,47.25917185153399
2023-07-16,30289.52,30441.46,30064.29,30231.99,15760.1281,377.16999999999825,30528.774285714284,30474.975714285712,30289.52,30312.01,31454.23,29909.21,-0.18993368003190625,2.1411718074523454,46.456574074755785
2023-07-17,30232.0,30336.96,29659.2,30138.0,30882.76839,677.7599999999984,30489.692857142858,30468.785714285714,30231.99,30289.52,30312.01,29800.0,-0.31089584245033164,2.1153447959096794,39.793463486220865
2023-07-18,30138.01,30239.78,29512.0,29859.13,30003.8601,727.7799999999988,30380.697142857145,30429.104285714282,30138.0,30231.99,30289.52,29901.72,-0.9253102395646695,2.1014271697468163,40.69766011367273
2023-07-19,29859.14,30189.09,29761.96,29909.21,25657.36137,427.130000000001,30313.441428571427,30421.094761904762,29859.13,30138.0,30231.99,29794.0,0.16772089474810237,2.0984616588238154,43.61703039733876
2023-07-20,29909.21,30417.46,29570.96,29800.0,37540.68193,846.5,30077.122857142855,30390.27047619047,29909.21,29859.13,30138.0,30083.75,-0.3651383637347849,1.309304605741596,48.85448351526995
2023-07-21,29800.0,30061.7,29726.34,29901.72,23881.40865,335.3600000000006,30018.510000000002,30363.114285714288,29800.0,29909.21,29859.13,29176.5,0.3413422818792089,0.41019719180440095,44.198521669434385
2023-07-22,29901.72,29999.0,29625.1,29794.0,14660.40467,373.90000000000146,29947.721428571425,30325.404761904763,29901.72,29800.0,29909.21,29228.91,-0.36024683529910506,0.41054755449238317,43.65368247586967
2023-07-23,29793.99,30350.0,29730.0,30083.75,18292.78637,620.0,29926.544285714284,30300.01047619048,29794.0,29901.72,29800.0,29351.96,0.9725112438746075,0.6155573957327051,49.04546920348276
2023-07-24,30083.75,30099.58,28861.9,29176.5,39628.99691,1237.6800000000003,29789.187142857143,30205.73904761905,30083.75,29794.0,29901.72,29222.78,-3.015747704325422,1.2816268628928216,36.8264539677325
